leader,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur,yrbegin,Polity,pop,begin_gdppc,age,tenure,growth_rate
Enrique Pena Nieto,1.0,7.0,15.0,0,8.0,1,1966,0,-888.0,-888,-888.0,0,,2012,8.0,5.071940820414204,4.194208979646682,46,3.0801453828620717,0.0073054543129356
Diego Chamorro,1.0,4.0,5.0,0,1.0,1,1861,0,2.0,0,-777.0,1,1.0,1921,6.0,2.8129133566428557,3.318689269947746,60,2.7762377050863467,-0.0116818690990558
Martinez Bartol,1.0,1.0,5.0,0,2.0,1,1860,0,1.0,0,1.0,0,,1923,6.0,2.8195439355418688,3.303196057420489,63,1.15539675694915,0.0218905472636815
Solorzano,1.0,2.0,7.0,0,2.0,1,1860,0,3.0,6,1.0,0,,1925,6.0,2.8260748027008264,3.3647385550553985,65,1.034928848641656,-0.0718911917098445
Chamorro Vargas,2.0,1.0,5.0,1,2.0,1,1871,1,1.0,0,1.0,0,,1926,6.0,2.8260748027008264,3.2973227142053028,55,0.7830414039987131,0.0045385779122542
Adolfo Diaz,1.0,1.0,5.0,1,2.0,1,1875,0,1.0,0,1.0,0,,1926,6.0,2.832508912706236,3.2973227142053028,51,2.173898163548875,0.1336359051941502
Moncada,1.0,1.0,5.0,0,6.0,1,1871,0,1.0,0,0.0,0,,1929,6.0,2.838849090737255,3.4437322414015967,58,3.997344230203221,-0.0823434125269978
"Sacasa, Juan",1.0,1.0,5.0,0,2.0,1,1874,0,1.0,0,1.0,1,1.0,1933,6.0,2.8750612633917,3.3637999454791094,59,3.4278595727496115,-0.078753786239723
Jarquin,1.0,1.0,5.0,0,2.0,1,1886,0,1.0,0,1.0,0,,1936,6.0,2.886490725172482,3.199480914862356,50,0.533891866362759,0.0562223626026532
Anastasio Somoza Garcia,1.0,1.0,5.0,0,6.0,1,1896,0,1.0,0,0.0,0,,1937,6.0,2.9912260756924947,3.2232362731029975,41,10.327385230360653,0.034688995215311
Arguello,1.0,2.0,7.0,0,2.0,1,1875,0,3.0,6,1.0,0,,1947,6.0,3.0,3.3636119798921444,72,0.0684476751747126,0.0649350649350648
Anastasio Somoza Garcia,2.0,2.0,1.0,1,1.0,1,1896,1,3.0,11,3.0,0,,1947,6.0,3.119585774961784,3.3636119798921444,51,9.347214521858763,0.0379220779220779
Luis Somoza Debayle,1.0,1.0,5.0,0,6.0,1,1922,0,1.0,0,0.0,0,,1956,6.0,3.215373152783422,3.503245771465113,34,6.5846663518073605,0.0266792215944758
Shick Gutierrez,2.0,4.0,5.0,0,1.0,1,1909,1,2.0,0,-777.0,1,0.0,1963,6.0,3.256958152560932,3.5776066773625357,54,3.258109338316324,0.0370933615445649
Guerrero Gutierrez,1.0,1.0,5.0,0,6.0,1,1900,0,1.0,0,0.0,1,1.0,1966,6.0,3.2706788361447066,3.637689819118401,66,0.7392348918868971,0.0363887609396591
Anastasio Somoza Debayle,1.0,2.0,10.0,0,1.0,1,1925,0,3.0,3,3.0,0,,1967,6.0,3.4292676664331685,3.6532125137753435,42,12.211065251168744,-0.0187179487179487
Daniel Ortega,2.0,1.0,5.0,0,6.0,1,1945,1,1.0,0,0.0,0,,1979,6.0,3.5615783683009608,3.532117116248804,34,10.770926165492789,-0.0297423574956614
Violeta Chamorro,1.0,1.0,5.0,0,6.0,0,1929,0,1.0,0,0.0,0,,1990,6.0,3.6625689669332604,3.3600250891893975,61,6.71334798113582,0.0119530336097773
Aleman,1.0,1.0,5.0,0,6.0,1,1946,0,1.0,0,0.0,0,,1997,6.0,3.702085721435825,3.394922634892677,51,4.999418194761015,0.0392128411641111
Enrique Bolanos,1.0,1.0,5.0,0,6.0,1,1928,0,1.0,0,0.0,0,,2002,6.0,3.7330366829335797,3.47267712849585,74,4.996680287754026,0.0512143227773314
