idacr,yrend,gdppc,pop
ARG,1983,11775.0,29784.0
ARG,1984,11837.0,30231.0
ARG,1985,10895.0,30672.0
ARG,1986,11515.0,31145.0
ARG,1987,11633.0,31625.0
ARG,1988,11244.0,32099.0
ARG,1989,10393.0,32572.0
ARG,1990,10254.0,33036.0
ARG,1991,11223.9846,33504.84899
ARG,1992,12267.0836,33967.3069
ARG,1993,12926.7947,34407.61752
ARG,1994,13571.3794,34847.36014
ARG,1995,13086.0365,35274.31759
ARG,1996,13715.2268,35683.43882
ARG,1997,14722.6459,36102.64317
ARG,1998,15185.9587,36518.40748
ARG,1999,14577.8323,36923.91066
ARG,2000,14368.9427,37336.15193
ARG,2001,13651.981,37739.67208
ARG,2002,12094.7728,38132.4581
ARG,2003,13088.565,38529.89418
ARG,2004,14183.2251,38945.85149
ARG,2005,15344.1571,39367.78388
ARG,2006,16490.4736,39762.28992
ARG,2007,17891.9434,40134.52368
ARG,2008,18520.3041,40531.92675
ARG,2009,17328.9758,40944.46502
ARG,2010,18979.9917,41358.62031
ARG,2011,20003.0,41792.25485
ARG,2012,19599.0,42216.68327
ARG,2013,19873.0,42635.99463
ARG,2014,19183.0,43057.99302
ARG,2015,19502.0,43475.28135
ARG,2016,18875.0,43887.30861
ARG,2017,19200.9061,44293.85881
ARG,2018,18556.3831,44694.76893
ARM,1973,9806.0,2712.997
ARM,1980,9291.0,3115.289
ARM,1981,9548.0,3166.098
ARM,1982,9809.0,3218.691
ARM,1983,9865.0,3270.153
ARM,1984,10181.0,3322.394
ARM,1985,10485.0,3373.532
ARM,1986,10394.0,3421.978
ARM,1987,9789.0,3468.857
ARM,1988,9301.0,3515.614
ARM,1989,10525.0,3325.992
ARM,1990,9669.0,3376.783
ARM,1991,8141.6711,3434.157515
ARM,1992,4699.611,3357.253449
ARM,1993,4130.1472,3184.657262
ARM,1994,4392.9799,3059.802848
ARM,1995,4703.1307,2994.928228
ARM,1996,4811.4895,2985.181631
ARM,1997,4836.0442,2978.094849
ARM,1998,4994.053,2971.925608
ARM,1999,5000.4524,2969.869514
ARM,2000,5139.8255,2966.021392
ARM,2001,5457.5101,2965.477948
ARM,2002,6082.1462,2962.461258
ARM,2003,6743.241,2955.364909
ARM,2004,7229.6482,2953.247581
ARM,2005,8006.9604,2950.749459
ARM,2006,8798.7502,2947.899247
ARM,2007,9713.2133,2945.512111
ARM,2008,10080.8128,2943.46367
ARM,2009,8399.0869,2941.36165
ARM,2010,8330.8112,2939.164911
ARM,2011,8465.0,2936.855272
ARM,2012,9077.0,2934.422211
ARM,2013,9385.0,2931.643756
ARM,2014,9735.0,2928.314203
ARM,2015,10042.0,2924.248896
ARM,2016,10080.0,2919.338762
ARM,2017,10859.3783,2913.541703
ARM,2018,11454.4251,2906.869202
AUS,1820,826.0,334.0
AUS,1821,834.0,331.0
AUS,1822,858.0,329.0
AUS,1823,886.0,329.0
AUS,1824,936.0,332.0
AUS,1825,982.0,333.0
AUS,1826,999.0,330.0
AUS,1827,1030.0,328.0
AUS,1828,1057.0,326.0
AUS,1829,1114.0,326.0
AUS,1830,1352.0,330.0
AUS,1831,1398.0,333.0
AUS,1832,1428.0,338.0
AUS,1833,1435.0,349.0
AUS,1834,1508.0,354.0
AUS,1835,1825.0,358.0
AUS,1836,1793.0,367.0
AUS,1837,1881.0,373.0
AUS,1838,1857.0,388.0
AUS,1839,1733.0,403.0
AUS,1840,2190.0,420.0
AUS,1841,1868.0,448.0
AUS,1842,1704.0,465.0
AUS,1843,1975.0,472.0
AUS,1844,2246.0,482.0
AUS,1845,2310.0,494.0
AUS,1846,2554.0,505.0
AUS,1847,2954.0,518.0
AUS,1848,3381.0,538.0
AUS,1849,3339.0,576.0
AUS,1850,3148.0,605.0
AUS,1851,3736.0,636.0
AUS,1852,4382.0,710.0
AUS,1853,4798.0,795.0
AUS,1854,4202.0,887.0
AUS,1855,3988.0,983.0
AUS,1856,4866.0,1065.0
AUS,1857,4294.0,1156.0
AUS,1858,3661.0,1235.0
AUS,1859,4728.0,1279.0
AUS,1860,4613.0,1326.0
AUS,1861,4544.0,1346.0
AUS,1862,4368.0,1382.0
AUS,1863,4352.0,1432.0
AUS,1864,4616.0,1495.0
AUS,1865,4403.0,1558.0
AUS,1866,4532.0,1609.0
AUS,1867,4956.0,1647.0
AUS,1868,5031.0,1700.0
AUS,1869,4932.0,1750.0
AUS,1870,5217.0,1775.0
AUS,1871,5259.0,1675.0
AUS,1872,5663.0,1722.0
AUS,1873,6095.0,1769.0
AUS,1874,6113.0,1822.0
AUS,1875,6596.0,1874.0
AUS,1876,6387.0,1929.0
AUS,1877,6433.0,1995.0
AUS,1878,6817.0,2062.0
AUS,1879,6703.0,2127.0
AUS,1880,6830.0,2197.0
AUS,1881,7101.0,2269.0
AUS,1882,6476.0,2348.0
AUS,1883,7133.0,2447.0
AUS,1884,6861.0,2556.0
AUS,1885,7049.0,2650.0
AUS,1886,6900.0,2741.0
AUS,1887,7383.0,2835.0
AUS,1888,7179.0,2932.0
AUS,1889,7567.0,3022.0
AUS,1890,7106.0,3107.0
AUS,1891,7438.0,3196.0
AUS,1892,6368.0,3274.0
AUS,1893,5910.0,3334.0
AUS,1894,6003.0,3395.0
AUS,1895,5558.0,3460.0
AUS,1896,5874.0,3523.0
AUS,1897,5451.0,3586.0
AUS,1898,6202.0,3642.0
AUS,1899,6121.0,3691.0
AUS,1900,6397.0,3741.0
AUS,1901,6119.0,3795.0
AUS,1902,6094.0,3850.0
AUS,1903,6497.0,3896.0
AUS,1904,6846.0,3946.0
AUS,1905,6825.0,4004.0
AUS,1906,7184.0,4062.0
AUS,1907,7358.0,4127.0
AUS,1908,7481.0,4197.0
AUS,1909,7940.0,4278.0
AUS,1910,8305.0,4375.0
AUS,1911,8136.0,4500.0
AUS,1912,8126.0,4661.0
AUS,1913,8220.0,4821.0
AUS,1914,8013.0,4933.0
AUS,1915,7806.0,4971.0
AUS,1916,7775.0,4955.0
AUS,1917,7637.0,4950.0
AUS,1918,7336.0,5032.0
AUS,1919,7517.0,5193.0
AUS,1920,7597.0,5358.0
AUS,1921,7828.0,5461.0
AUS,1922,8072.0,5574.0
AUS,1923,8276.0,5697.0
AUS,1924,8635.0,5819.0
AUS,1925,8851.0,5943.0
AUS,1926,8883.0,6064.0
AUS,1927,8837.0,6188.0
AUS,1928,8690.0,6304.0
AUS,1929,8389.0,6396.0
AUS,1930,7504.0,6469.0
AUS,1931,6940.0,6527.0
AUS,1932,7275.0,6579.0
AUS,1933,7718.0,6631.0
AUS,1934,8066.0,6682.0
AUS,1935,8477.0,6732.0
