ccode,leader,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,numentry,numexit,yrbegin,yrend,country,end_gdppc,pop_x,begin_gdppc,pop_y,age,tenure,growth_rate,fties_range,growth_rate_normgroup,growth_rate_avggrp
0.7938271604938272,Faisal II,0.0,0.16666666666666666,0.42857142857142855,0.0,0.0,0.5,0.7225433526011561,0.9802867383512545,0.0,0.9988789,0.5960264900662252,0.5899280575539568,Iraq,0.02310560290622829,0.004487165002858418,0.01961498275904526,0.004057706092819613,0.014492753623188406,0.0857190785059271,0.032867940916085525,1.0,4,5
0.7938271604938272,Karrim Kassem,0.5,0.16666666666666666,0.42857142857142855,0.0,0.0,0.5,0.6011560693641619,0.982078853046595,0.5,0.9988789,0.6291390728476821,0.6258992805755396,Iraq,0.026986068631424026,0.005245762358451966,0.023386569732147464,0.004685625028373893,0.391304347826087,0.07291433683739655,0.033240987074667966,1.0,4,5
0.7938271604938272,Salem Aref,0.5,0.5,0.2857142857142857,0.0,0.0,0.5,0.6416184971098265,0.9831541218637992,0.5,0.99775785,0.6622516556291391,0.6474820143884892,Iraq,0.03186877384855774,0.005811697404292391,0.027314222373102173,0.005455654173096127,0.36231884057971014,0.04439722657123686,0.052271037646314474,1.0,4,4
0.7938271604938272,Rahmen Aref,0.0,0.16666666666666666,0.42857142857142855,0.0,0.125,0.5,0.6127167630057804,0.9978494623655914,0.0,0.9988789,0.6821192052980133,0.6618705035971223,Iraq,0.034483590984575395,0.006227299403644814,0.03225630185509816,0.006030117656396656,0.4782608695652174,0.025497651532095728,0.03387859015241222,1.0,4,5
0.7938271604938272,Hassan Al-Bakr,0.5,0.0,0.2857142857142857,0.0,0.5,0.5,0.6011560693641619,0.9888888888888889,0.5,0.99663675,0.695364238410596,0.7410071942446043,Iraq,0.06676084231468035,0.009130032717745163,0.034902915472430227,0.006451982628303656,0.5362318840579711,0.20409304406173115,0.0795329699478847,1.0,3,4
0.7938271604938272,Saddam Hussein,0.0,0.3333333333333333,0.8571428571428571,0.0,0.25,0.5,0.7341040462427746,0.9974910394265233,0.0,1.0,0.7682119205298014,0.9136690647482014,Iraq,0.02187498515713829,0.019338492038270046,0.06757266194288794,0.009398459088750253,0.36231884057971014,0.46421382241109366,-0.02733692347306719,1.0,4,5
0.7938271604938272,Paul Bremer,1.0,0.0,0.2857142857142857,0.0,0.625,0.5,0.7572254335260116,0.0,1.0,0.99663675,0.9271523178807947,0.920863309352518,Iraq,0.03651733150684865,0.01984917522640846,0.022140987527713676,0.019760756217198538,0.6521739130434783,0.002628047416685305,0.5328703096557876,1.0,1,1
0.7938271604938272,al-Jaafari,0.0,0.0,0.2857142857142857,0.0,0.625,0.5,0.791907514450867,0.0,0.0,0.99663675,0.9403973509933775,0.935251798561151,Iraq,0.04330210032346772,0.02071459736930096,0.03943148726252592,0.020750354773945663,0.5942028985507246,0.0008946544397226561,0.10037239177349604,1.0,3,4
0.7938271604938272,al-Maliki,0.0,0.0,0.2857142857142857,0.0,0.625,0.5,0.8092485549132948,0.0,0.0,0.99663675,0.9470198675496688,0.9928057553956835,Iraq,0.07991844795243015,0.026027763606870258,0.043828658913299574,0.021157598960306112,0.5652173913043478,0.1491277119212704,0.09642787683976774,1.0,3,4
0.7938271604938272,al-Abadi,0.0,1.0,1.0,0.0,0.875,0.5,0.8208092485549133,0.0,0.0,0.0,1.0,1.0,Iraq,0.08118409654160823,0.026913041192884617,0.08089026559963503,0.02655083270086059,0.6521739130434783,0.006318496980541266,0.011719946662045061,1.0,4,5
0.8012345679012346,Naguib,0.5,0.0,0.2857142857142857,0.0,0.125,0.5,0.5260115606936416,0.9896057347670251,0.5,0.99663675,0.5894039735099338,0.5611510791366906,Egypt,0.0066778696954244736,0.016847177228605553,0.006876122620584542,0.01643202138583496,0.4927536231884058,0.026727801386714375,-0.005428245289561885,1.0,4,5
0.8012345679012346,Nasser,0.5,0.5,0.2857142857142857,0.0,0.0,0.5,0.6242774566473989,0.9845878136200716,0.5,0.99775785,0.6026490066225165,0.6762589928057554,Egypt,0.010416993953808447,0.024377662286330915,0.006759073369695163,0.017231898189979628,0.2753623188405797,0.3035115186759114,0.02589142480394265,1.0,4,5
0.8012345679012346,Sadat,0.0,0.16666666666666666,0.07142857142857142,0.0,0.0,0.5,0.6242774566473989,0.9885304659498207,0.0,0.9988789,0.7086092715231788,0.7553956834532374,Egypt,0.018833235841236293,0.032162158833789145,0.01054366581511841,0.02487586494729419,0.5072463768115942,0.2046522030865578,0.05945194094811936,1.0,4,4
0.8012345679012346,Mubarak,0.0,0.16666666666666666,0.21428571428571427,0.0,0.25,0.5,0.6878612716763006,0.0,0.0,0.9988789,0.7814569536423841,0.9712230215827338,Egypt,0.06655525472659052,0.06251967619288376,0.01906225018540097,0.03277767105607285,0.5072463768115942,0.5785059270856631,0.07653954402989471,1.0,3,4
0.8012345679012346,Tantawi,0.0,0.0,0.2857142857142857,0.0,0.625,0.5,0.6994219653179191,0.0,0.0,0.99663675,0.9801324503311258,0.9784172661870504,Egypt,0.06674799309042474,0.06414669624757541,0.06736457438575126,0.06359266527606167,0.9130434782608695,0.007772310445090582,0.002020822786385945,1.0,4,5
0.8012345679012346,Morsi,0.0,0.16666666666666666,0.21428571428571427,0.0,0.25,0.5,0.815028901734104,0.0,0.0,0.9988789,0.9867549668874173,0.9856115107913669,Egypt,0.06679938998744721,0.06581990611834188,0.0675596564705669,0.06524420393741102,0.6376811594202898,0.00011183180496533201,0.0007374435170267265,1.0,4,5
0.8012345679012346,al-Sisi,0.0,1.0,1.0,0.0,0.875,0.5,0.8323699421965318,0.0,0.0,0.0,1.0,1.0,Egypt,0.06926644104452528,0.06929835305183178,0.06917883777453664,0.06868594550518445,0.6231884057971014,0.011462760008946544,0.008303425792383553,1.0,4,5
0.8024691358024691,"Atassi, H.",0.5,0.0,0.2857142857142857,0.5,0.625,0.5,0.37572254335260113,0.9810035842293907,0.5,0.99663675,0.6026490066225165,0.5683453237410072,Syrian Arab Republic,0.028695015457420828,0.002658929831916438,0.03333575605774466,0.0027580731065522265,0.8985507246376812,0.010568105569223886,-0.07891395938089255,1.0,5,6
0.8024691358024691,Kuwatli,0.0,0.0,0.2857142857142857,0.25,0.625,0.5,0.4682080924855491,0.9835125448028674,0.0,0.99663675,0.609271523178808,0.5899280575539568,Syrian Arab Republic,0.028695015457420828,0.0029002621100329314,0.02904395019180077,0.0028298390113898762,0.6811594202898551,0.02868485797360769,0.0,1.0,4,5
0.8024691358024691,Nasser (president of UAR),0.0,0.16666666666666666,0.42857142857142855,0.0,0.625,0.5,0.6242774566473989,0.9845878136200716,0.0,0.9988789,0.6291390728476821,0.6115107913669064,Syrian Arab Republic,0.030018485555749173,0.003203230116406258,0.02904395019180077,0.003074808080081805,0.3333333333333333,0.05418250950570341,0.011634912645320497,1.0,4,5
0.8024691358024691,Al-Hafiz,0.5,0.16666666666666666,0.42857142857142855,0.0,0.25,0.5,0.5838150289017341,0.9985663082437276,0.5,0.9988789,0.6622516556291391,0.6474820143884892,Syrian Arab Republic,0.02972295339787003,0.003803684336025898,0.035618216450087545,0.0036144151984570413,0.5072463768115942,0.03231939163498099,-0.0562356828691977,1.0,4,5
0.8024691358024691,"El-Atassi, N.",0.5,0.16666666666666666,0.42857142857142855,0.0,0.25,0.5,0.6878612716763006,0.9924731182795699,0.5,0.9988789,0.6821192052980133,0.6762589928057554,Syrian Arab Republic,0.03382828054753903,0.004358877119345501,0.030084387977484136,0.003991844553877729,0.2898550724637681,0.07582196376649519,0.027085179417441676,1.0,4,5
